,genres,original_language,vote_average,vote_count,popularity,budget,revenue,runtime,budget_to_rating,budget_to_pop,budget_to_vote_count,vote_count_to_popularity,vote_average_squared,log_budget,release_day_of_week,release_quarter,year,month
0,"['Action', 'Crime', 'Thriller']",English,7.4,1347.0,8363.473,340000000.0,652000000.0,142.0,40476190.47619048,40652.967971559185,252225.51928783383,0.16103823875096496,54.760000000000005,19.644456178515657,2,2,2023,5
1,"['Action', 'Thriller', 'Crime']",English,7.9,2896.0,4210.313,90000000.0,431769198.0,170.0,10112359.550561797,21376.082965803256,31066.620642043494,0.6876715171729102,62.410000000000004,18.31532023940565,2,1,2023,3
2,"['Animation', 'Family', 'Adventure', 'Fantasy', 'Comedy']",English,7.8,4628.0,3394.458,100000000.0,1308766975.0,92.0,11363636.363636363,29459.78415405346,21602.93799956794,1.362997274594473,60.839999999999996,18.420680753952364,2,2,2023,4
3,"['Action', 'Adventure', 'Animation', 'Science Fiction']",English,8.8,1160.0,2859.047,100000000.0,313522201.0,140.0,10204081.632653061,34976.68978509273,86132.64427217915,0.40558774034133005,77.44000000000001,18.420680753952364,2,2,2023,5
5,"['Action', 'Adventure', 'Science Fiction']",English,7.4,195.0,2453.807,200000000.0,171045464.0,127.0,23809523.80952381,81506.00271333483,1020408.1632653062,0.07943598009945385,54.760000000000005,19.11382792951231,1,2,2023,6
7,"['Adventure', 'Family', 'Fantasy', 'Romance']",English,6.2,616.0,1448.64,250000000.0,414000000.0,135.0,34722222.222222224,172575.65716810248,405186.3857374392,0.4249330868353522,38.440000000000005,19.33697147982652,3,2,2023,5
8,"['Science Fiction', 'Adventure', 'Action']",English,7.7,8493.0,1344.884,460000000.0,2320250281.0,192.0,52873563.21839081,342036.93404040794,54155.874735107136,6.310350669151279,59.290000000000006,19.946737049621326,2,4,2022,12
9,"['Thriller', 'Horror']",English,7.1,1597.0,1285.781,15000000.0,141512122.0,96.0,1851851.851851852,11666.061327706662,9386.733416770963,1.2410814272203274,50.41,16.52356082573315,2,2,2023,4
10,"['War', 'Thriller', 'Action', 'Adventure', 'Mystery', 'Science Fiction', 'Drama']",English,6.0,41.0,1269.136,15000.0,23000.0,86.0,2142.8571428571427,11.81906430831684,357.14285714285717,0.03228000781018726,36.0,9.61587214452889,4,4,2022,10
11,"['Science Fiction', 'Adventure', 'Action']",English,8.1,1932.0,1262.366,250000000.0,805801000.0,150.0,27472527.472527474,198040.82175850743,129332.64355923435,1.5292480563827109,65.61,19.33697147982652,2,2,2023,5
13,"['Action', 'Adventure', 'Science Fiction']",English,6.5,3229.0,1167.79,200000000.0,475766228.0,125.0,26666666.666666668,171263.6689815806,61919.50464396285,2.7626861968360443,42.25,19.11382792951231,2,1,2023,2
14,"['Action', 'War']",Finnish,7.4,656.0,1146.052,6200000.0,10568631.0,91.0,738095.2380952381,5409.876689713905,9436.834094368342,0.5719008379742156,54.760000000000005,15.64006001130563,4,1,2023,1
16,"['Horror', 'Thriller']",English,7.2,1375.0,1037.514,18000000.0,70204828.0,103.0,2195121.9512195126,17349.163481167485,13081.39534883721,1.3240071871924695,51.84,16.705882371415992,2,2,2023,4
21,"['Action', 'Crime', 'Thriller', 'Mystery']",English,6.9,258.0,920.656,0.0,200221.0,119.0,0.0,0.0,0.0,0.2799309069761386,47.61000000000001,0.0,3,2,2023,4
22,"['War', 'Action', 'Thriller']",English,7.7,514.0,917.907,55000000.0,17100000.0,123.0,6321839.080459771,59918.92424831709,106796.11650485436,0.5593601964072534,59.290000000000006,17.822843761378564,2,2,2023,4
24,"['Action', 'Adventure', 'Animation', 'Science Fiction']",English,8.4,13081.0,914.969,90000000.0,375464627.0,117.0,9574468.085106382,98363.98828812779,6879.682005809509,14.28105099626734,70.56,18.31532023940565,3,4,2018,12
25,"['Comedy', 'Action', 'Fantasy']",English,6.7,1931.0,829.516,125000000.0,133437105.0,130.0,16233766.233766234,150690.2820439871,64699.792960662526,2.3250605647573317,44.89,18.643824303266577,2,1,2023,3
26,"['Drama', 'Action']",English,7.3,1563.0,778.998,75000000.0,269000000.0,116.0,9036144.578313252,96277.52574461038,47953.9641943734,2.0038512919263893,53.29,18.132998684833918,2,1,2023,3
32,"['Animation', 'Family', 'Fantasy', 'Adventure', 'Comedy']",English,8.3,5713.0,640.924,90000000.0,480000000.0,103.0,9677419.354838708,140422.2653543946,15750.787539376968,8.899807453841888,68.89000000000001,18.31532023940565,2,4,2022,12
34,"['Science Fiction', 'Action', 'Drama']",Chinese,7.3,265.0,610.062,73801827.0,604380922.0,173.0,8891786.385542167,120974.30589022099,277450.47744360904,0.43367121503218986,53.29,18.116894058911633,6,1,2023,1
36,"['Comedy', 'Action', 'Drama', 'Adventure']",Chinese,6.9,48.0,581.314,0.0,31179137.0,126.0,0.0,0.0,0.0,0.08242975439367764,47.61000000000001,0.0,4,2,2023,4
39,"['Horror', 'Mystery', 'Thriller']",English,7.3,1354.0,556.578,35000000.0,168541093.0,123.0,4216867.469879517,62884.267793552746,25830.258302583024,2.428359798987765,53.29,17.370858648025116,2,1,2023,3
46,"['Action', 'Adventure', 'Science Fiction']",English,8.0,17545.0,448.664,200000000.0,1921847111.0,148.0,22222222.222222224,445767.8797496568,11398.609369656902,39.018022345573584,64.0,19.11382792951231,2,4,2021,12
49,"['Science Fiction', 'Action', 'Adventure']",English,5.9,7359.0,424.422,210000000.0,1104054072.0,165.0,30434782.608695652,494790.56222344737,28532.608695652172,17.298118103906237,34.81,19.162618093443648,2,2,2014,6
50,"['Action', 'Adventure', 'Science Fiction']",English,7.2,4978.0,422.445,250000000.0,859102154.0,162.0,30487804.87804878,591793.0144752571,50210.885720024104,11.755954138081687,51.84,19.33697147982652,2,4,2022,11
51,"['Action', 'Adventure', 'Science Fiction', 'Fantasy']",English,7.1,5044.0,420.68,200000000.0,393252111.0,124.0,24691358.02469136,475420.74736141483,39643.211100099106,11.961677101119331,50.41,19.11382792951231,2,4,2022,10
52,"['Animation', 'Drama', 'Adventure', 'Fantasy']",Japanese,7.9,429.0,414.942,0.0,321092572.0,123.0,0.0,0.0,0.0,1.031393800097129,62.410000000000004,0.0,4,4,2022,11
53,"['Adventure', 'Fantasy', 'Comedy']",English,7.5,1661.0,409.568,151000000.0,208177026.0,134.0,17764705.88235294,368681.1469646066,90854.39229843562,4.045614855517234,56.25,18.832790401401716,3,1,2023,3
58,"['Action', 'Comedy', 'Horror', 'Thriller']",English,5.7,1059.0,346.156,30000000.0,45867333.0,99.0,4477611.940298507,86666.12741076278,28301.88679245283,3.050501791701713,32.49,17.216707972959764,2,3,2002,7
60,"['Animation', 'Comedy', 'Family', 'Adventure', 'Fantasy']",Spanish,7.2,312.0,332.645,12300000.0,34200000.0,88.0,1500000.0000000002,36976.35617550241,39297.12460063898,0.935125657510228,51.84,16.325109901643454,3,1,2023,1
63,"['Comedy', 'Horror', 'Fantasy']",English,6.8,634.0,328.349,65000000.0,24187819.0,93.0,8333333.333333334,197960.0973354571,102362.20472440944,1.9250096402296653,46.239999999999995,17.989897843244528,4,2,2023,4
64,"['Action', 'Adventure', 'Science Fiction']",English,6.1,5548.0,327.288,217000000.0,605425157.0,154.0,30563380.281690143,663024.6144068833,39106.14525139665,16.899795301686325,37.209999999999994,19.19540791611303,4,2,2017,6
65,"['Horror', 'Thriller']",English,6.6,71.0,325.086,0.0,356840.0,106.0,0.0,0.0,0.0,0.21773397201965125,43.559999999999995,0.0,4,4,2022,12
70,"['Thriller', 'Comedy', 'Crime']",English,6.3,1166.0,314.758,32500000.0,89020092.0,96.0,4452054.794520548,103253.9284148457,27849.185946872323,3.692701372570133,39.69,17.296750678069195,2,1,2023,2
76,"['Science Fiction', 'Horror']",English,7.3,2747.0,283.293,12000000.0,176830912.0,102.0,1445783.1325301204,42358.97110059197,4366.812227074236,9.66256643673956,53.29,16.300417291085605,2,4,2022,12
80,"['Horror', 'Thriller']",English,5.7,638.0,263.92,100000.0,5200000.0,84.0,14925.373134328358,378.90269778720824,156.49452269170578,2.408274195983693,32.49,11.51293546492023,4,1,2023,1
81,"['Action', 'Adventure', 'Thriller']",English,6.9,1305.0,256.751,25000000.0,51000000.0,107.0,3164556.9620253164,97370.60420407321,19142.41960183767,5.063025943643284,47.61000000000001,17.034386422832473,3,1,2023,1
82,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']",English,7.6,29219.0,250.238,237000000.0,2923706026.0,162.0,27558139.534883723,947098.3623590342,8110.88295687885,116.30008199396588,57.76,19.283570703318816,1,4,2009,12
85,"['Animation', 'Family', 'Fantasy']",English,7.4,7109.0,243.272,40000000.0,211343479.0,83.0,4761904.761904762,164425.0057548752,5625.879043600563,29.102803432239472,54.760000000000005,17.50439003707821,4,4,1989,11
86,"['Science Fiction', 'Action', 'Adventure', 'Thriller']",English,6.2,1205.0,242.493,45000000.0,55000000.0,92.0,6250000.0,185572.36703739903,37313.432835820895,4.948807563256438,38.440000000000005,17.622173069956816,3,1,2023,3
87,['Thriller'],English,7.3,2932.0,235.862,3000000.0,16120263.0,107.0,361445.7831325301,12719.301964708176,1022.8435049437436,12.378515760231696,53.29,14.914123179965662,3,3,2022,8
88,"['Crime', 'Comedy']",English,6.7,60.0,235.858,41000000.0,3902761.0,101.0,5324675.324675324,173833.40823715963,672131.1475409836,0.25331633299276357,44.89,17.529082649058825,3,2,2023,4
94,"['Horror', 'Thriller']",English,6.9,1236.0,226.935,250000.0,12400000.0,138.0,31645.56962025316,1101.6370326304889,202.1018593371059,5.422598547831619,47.61000000000001,12.429220196836383,3,4,2022,10
97,"['Adventure', 'Action', 'Science Fiction']",English,6.8,4908.0,222.767,165000000.0,1001978080.0,147.0,21153846.153846156,740684.212652682,33611.733550621306,21.933529072651464,46.239999999999995,18.92145603792546,2,2,2022,6
98,"['Action', 'Adventure', 'Family', 'Comedy']",English,7.6,3989.0,221.257,110000000.0,402656846.0,122.0,12790697.674418606,497159.41190561204,27568.922305764412,17.94769118632934,57.76,18.5159909328476,4,2,2022,4
99,"['Horror', 'Thriller', 'Mystery']",English,6.4,1535.0,220.998,20000000.0,54708659.0,100.0,2702702.7027027025,90498.55654802306,13020.833333333334,6.914476706997361,40.96000000000001,16.811242881518265,2,1,2023,2
100,"['Action', 'Drama']",English,8.3,6965.0,220.473,170000000.0,1488732821.0,131.0,18279569.892473117,771069.4733595497,24404.249210450762,31.448528714561142,68.89000000000001,18.951309000896888,1,2,2022,5
102,"['Animation', 'Fantasy', 'Adventure']",Japanese,7.6,231.0,217.694,0.0,11426555.0,108.0,0.0,0.0,0.0,1.0562704052237373,57.76,0.0,4,4,2022,11
103,"['Fantasy', 'Action', 'Comedy']",English,6.6,6075.0,216.585,250000000.0,760928081.0,119.0,32894736.842105266,1154281.2290786526,41145.49045424622,27.9201231702553,43.559999999999995,19.33697147982652,2,3,2022,7
104,['Drama'],Italian,7.8,394.0,216.295,0.0,9494985.0,147.0,0.0,0.0,0.0,1.8132032490393246,60.839999999999996,0.0,2,4,2022,12
105,"['Action', 'Comedy', 'Romance']",English,6.4,854.0,214.563,0.0,4495365.0,101.0,0.0,0.0,0.0,3.961718847854224,40.96000000000001,0.0,2,4,2022,12
106,['Drama'],English,8.0,2448.0,213.494,3000000.0,55101305.0,116.0,333333.3333333333,14051.917149896484,1224.9897917517353,11.4129066547316,64.0,14.914123179965662,4,4,2022,12
107,"['Science Fiction', 'Adventure', 'Action', 'Comedy']",English,7.6,19898.0,206.76,200000000.0,863756051.0,137.0,23255813.953488372,967305.088024763,10050.756319413036,95.77396996534463,57.76,19.11382792951231,2,2,2017,4
108,"['Family', 'Comedy', 'Fantasy']",English,6.8,581.0,203.655,25000000.0,13276499.0,117.0,3205128.205128205,122756.62271979573,42955.3264604811,2.838924042901468,46.239999999999995,17.034386422832473,4,4,2022,11
112,"['Action', 'Drama', 'History']",English,7.8,1542.0,199.915,50000000.0,91000000.0,135.0,5681818.181818182,250106.29517544957,32404.40699935191,7.674887390189881,60.839999999999996,17.72753358339242,4,3,2022,9
117,"['Animation', 'Comedy', 'Family', 'Drama', 'Adventure']",English,7.7,287.0,194.023,0.0,6000000.0,90.0,0.0,0.0,0.0,1.4716212959497086,59.290000000000006,0.0,4,2,2022,6
118,"['Drama', 'History']",English,8.1,8699.0,192.58,25000000.0,235956898.0,127.0,2747252.7472527474,129816.18028871117,2873.5632183908046,44.937493542721356,65.61,17.034386422832473,5,4,2016,12
121,"['Fantasy', 'Action', 'Adventure']",English,7.4,7544.0,189.332,200000000.0,952224986.0,126.0,23809523.80952381,1056345.4672216002,26507.620941020545,39.63600445537272,54.760000000000005,19.11382792951231,2,2,2022,5
123,"['Animation', 'Comedy', 'Family', 'Fantasy']",English,7.6,8270.0,186.503,50000000.0,253000000.0,102.0,5813953.488372093,268092.2022702048,6045.218232378189,44.10596097129113,57.76,17.72753358339242,2,4,2021,10
124,"['Animation', 'Family', 'Comedy', 'Fantasy']",English,7.5,4230.0,184.041,190000000.0,18879922.0,100.0,22352941.17647059,1032378.6547562771,44906.64145592059,22.859798639220497,56.25,19.06253463538792,3,1,2022,3
125,"['Crime', 'Mystery', 'Thriller']",English,7.7,8063.0,183.459,185000000.0,770945583.0,177.0,21264367.816091955,1008399.69693501,22941.468253968254,43.71161071023913,59.290000000000006,19.035866388448003,1,1,2022,3
127,"['Adventure', 'Family', 'Fantasy']",English,7.1,9580.0,181.661,180000000.0,745013115.0,143.0,22222222.222222224,990856.595526833,18787.182966287444,52.446882476281196,50.41,19.00846741441004,2,4,2005,12
129,"['Adventure', 'Action', 'Science Fiction']",English,8.3,27040.0,180.25,300000000.0,2052415039.0,149.0,32258064.516129028,1664355.0624133148,11094.2642653748,149.18620689655174,68.89000000000001,19.519293035953808,2,2,2018,4
134,"['Romance', 'Drama', 'Comedy']",English,6.3,61.0,177.35,9000000.0,10000000.0,104.0,1232876.7123287672,50747.11023400057,145161.29032258064,0.3420241098962714,39.69,16.012735246411598,3,2,2023,5
137,"['Animation', 'Action', 'Adventure', 'Fantasy', 'Thriller']",Japanese,8.3,3198.0,175.944,15800000.0,503063688.0,117.0,1698924.7311827955,89801.30041376803,4939.043451078462,18.07351478433855,68.89000000000001,16.575520561288332,4,4,2020,10
138,"['Romance', 'Drama']",English,6.8,865.0,174.423,0.0,12467270.0,95.0,0.0,0.0,0.0,4.9309383604202415,46.239999999999995,0.0,2,3,2022,8
139,"['Action', 'Adventure', 'Crime']",English,7.2,6426.0,172.075,200000000.0,726229501.0,143.0,24390243.902439028,1162283.8878396049,31118.717908822156,37.12841253791709,51.84,19.11382792951231,2,2,2021,5
140,"['Animation', 'Comedy', 'Family']",English,7.4,2878.0,171.906,85000000.0,939628210.0,87.0,10119047.61904762,494456.27261410304,29524.140326502256,16.644882190323067,54.760000000000005,18.258161826219297,2,2,2022,6
141,"['Fantasy', 'Action', 'Adventure']",English,6.3,62.0,171.797,0.0,5000000.0,112.0,0.0,0.0,0.0,0.3588025255068086,39.69,0.0,3,2,2023,4
142,"['Mystery', 'Drama', 'Thriller']",English,7.6,1141.0,171.364,24000000.0,127000000.0,125.0,2790697.674418605,140052.75320370673,21015.761821366024,6.619711772759973,57.76,16.993564429978885,4,3,2022,7
144,"['Action', 'Adventure', 'Comedy']",English,6.9,6428.0,169.88,200000000.0,760098996.0,137.0,25316455.69620253,1177301.624676242,31109.037175299425,37.61704119850187,47.61000000000001,19.11382792951231,3,3,2019,8
145,"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy']",English,6.9,84.0,168.888,17000000.0,3901839.0,93.0,2151898.734177215,100658.42451802378,200000.0,0.49444339800339043,47.61000000000001,16.648723960844016,4,4,2022,12
146,"['Horror', 'Thriller']",English,7.1,684.0,168.735,0.0,37655699.0,93.0,0.0,0.0,0.0,4.029811176245324,50.41,0.0,6,4,2022,10
150,"['Action', 'Adventure', 'Fantasy']",English,6.5,12057.0,163.998,200000000.0,708962323.0,141.0,26666666.666666668,1219527.067403261,16586.49859014762,73.07361301349108,42.25,19.11382792951231,2,2,2014,4
151,"['Animation', 'Family', 'Science Fiction', 'Fantasy']",Japanese,7.3,438.0,163.755,35000000.0,83061158.0,90.0,4216867.469879517,213733.93178834234,79726.65148063781,2.6584929137203726,53.29,17.370858648025116,4,3,2014,8
162,"['Horror', 'Mystery', 'Thriller']",English,6.7,2473.0,156.666,24000000.0,140041405.0,114.0,3116883.116883117,153192.14124315424,9700.889248181084,15.685055750764274,44.89,16.993564429978885,2,1,2022,1
163,"['Drama', 'Romance']",English,7.9,11180.0,156.663,20000000.0,207945075.0,110.0,2247191.011235955,127662.56231528822,1788.7487702352205,70.91073999606756,62.410000000000004,16.811242881518265,2,2,2016,6
164,"['Action', 'Thriller', 'Crime']",English,7.3,11644.0,155.842,40000000.0,171539887.0,122.0,4819277.108433735,256670.2172713389,3434.9506225848004,74.2403182820928,53.29,17.50439003707821,2,1,2017,2
167,"['Action', 'Thriller', 'Crime']",English,7.4,9347.0,151.841,55000000.0,326709727.0,131.0,6547619.047619048,362221.00750126777,5883.611467693624,61.15505656204814,54.760000000000005,17.822843761378564,2,2,2019,5
172,"['Action', 'Adventure', 'Science Fiction', 'Drama']",English,7.3,20097.0,148.031,175000000.0,880166924.0,133.0,21084337.34939759,1182184.8126405955,8707.334063090855,134.85113835376532,53.29,18.980296537602072,2,3,2017,7
176,"['Science Fiction', 'Action', 'Adventure']",English,6.9,8853.0,144.388,110000000.0,506863592.0,97.0,13924050.632911392,761836.1636701111,12423.763270838039,60.892233196687485,47.61000000000001,18.5159909328476,3,3,2021,9
177,"['Adventure', 'Fantasy']",English,7.9,24858.0,144.113,125000000.0,976475550.0,152.0,14044943.82022472,867374.9071908849,5028.359950118669,171.30098612805193,62.410000000000004,18.643824303266577,4,4,2001,11
178,"['Action', 'Thriller', 'Crime']",English,7.2,9800.0,143.622,190000000.0,1515341399.0,137.0,23170731.707317077,1322917.1018367659,19385.77696153454,67.76285765651146,51.84,19.06253463538792,2,2,2015,4
179,"['Animation', 'Family']",English,7.9,3728.0,143.478,85000000.0,406000000.0,110.0,9550561.797752809,592425.3195611871,22794.31482971306,25.803236478910282,62.410000000000004,18.258161826219297,2,4,2021,12
180,"['Horror', 'Thriller']",English,7.3,16034.0,143.472,9000000.0,278454358.0,117.0,1084337.3493975904,62730.0100368016,561.2722170252573,110.9834431585359,53.29,16.012735246411598,3,1,2017,1
182,"['Action', 'Drama', 'History']",English,7.2,381.0,143.168,23000000.0,4311284.0,126.0,2804878.048780488,160650.42467590523,60209.424083769634,2.6427501248543366,51.84,16.951004817371683,3,3,2022,9
184,"['Adventure', 'Science Fiction', 'Action']",English,6.8,10187.0,142.809,150000000.0,709709780.0,143.0,19230769.230769232,1050353.96928765,14723.203769140166,70.83701298249763,46.239999999999995,18.826145858727198,2,2,2007,6
188,"['Romance', 'Drama']",English,7.1,7621.0,140.754,14000000.0,69497587.0,106.0,1728395.061728395,99464.31362519006,1836.7882445552348,53.762151332590264,50.41,16.454567959008102,3,2,2019,4
189,"['Adventure', 'Fantasy']",English,7.7,19961.0,140.546,100000000.0,876688482.0,161.0,11494252.873563219,711510.8220796039,5009.518084360285,141.02129343111073,59.290000000000006,18.420680753952364,2,4,2002,11
190,"['Fantasy', 'Action']",English,7.3,17207.0,139.896,139000000.0,821708551.0,121.0,16746987.951807227,993595.2421799052,8077.638307763831,122.12553940495118,53.29,18.749984498289212,2,2,2002,5
192,"['Action', 'Science Fiction', 'Horror']",English,6.2,6486.0,139.293,150000000.0,530517320.0,113.0,20833333.333333332,1076866.7485085395,23123.169415754586,46.23181484464656,38.440000000000005,18.826145858727198,3,3,2018,8
194,"['Adventure', 'Fantasy']",English,8.0,19597.0,138.486,130000000.0,789804554.0,141.0,14444444.444444444,938723.047817108,6633.329931625676,140.49438653341554,64.0,18.683045016112164,0,2,2004,5
199,"['Drama', 'History', 'War']",English,8.2,12307.0,136.764,40000000.0,175302354.0,139.0,4347826.086956522,292474.62782603607,3249.9187520311993,89.33393339333932,67.24,17.50439003707821,4,4,2016,10
201,"['Adventure', 'Fantasy', 'Family']",English,7.8,18874.0,136.013,150000000.0,895921036.0,157.0,17045454.545454543,1102835.7583466286,7947.019867549669,137.75335187172018,60.839999999999996,18.826145858727198,2,4,2005,11
204,"['Action', 'Crime', 'Thriller']",English,6.9,9532.0,135.525,250000000.0,1236005118.0,136.0,31645569.620253164,1844678.1036709093,26224.693171089897,69.81871452114997,47.61000000000001,19.33697147982652,2,2,2017,4
207,"['Horror', 'Mystery', 'Thriller']",English,6.8,2091.0,133.396,17000000.0,216135048.0,115.0,2179487.1794871795,127440.1031515188,8126.195028680689,15.558498764844193,46.239999999999995,16.648723960844016,4,3,2022,9
208,"['Thriller', 'Action', 'Horror', 'Adventure', 'Drama']",English,6.8,1127.0,133.332,0.0,56000000.0,93.0,0.0,0.0,0.0,8.389661435845518,46.239999999999995,0.0,3,3,2022,8
